top1_accuracy,top5_accuracy,auc_full_dataset,valid_prediction_rate,model,type
0.11666666666666667,1.0,0.5001736111111111,0.125,resnet50,CNN
0.175,1.0,0.4640625,0.19166666666666668,resnet101,CNN
